,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre
0,TV Girl,Not Allowed,0jA4h2SD50Oak4C3Vn905a,84,0Y6dVaC9DZtPNH4591M42W,['0Y6dVaC9DZtPNH4591M42W'],['TV Girl'],2016,pop
1,Childish Gambino,Redbone,0wXuerDYiBnERgIpbb3JBR,86,73sIBHcqh3Z3NyqHKZ7FOL,['73sIBHcqh3Z3NyqHKZ7FOL'],['Childish Gambino'],2016,pop
2,The Lumineers,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,79,16oZKvXb6WkQlVAjwo2Wbg,['16oZKvXb6WkQlVAjwo2Wbg'],['The Lumineers'],2016,pop
3,James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,88,4IWBUUAFIplrNtaOHcJPRM,['4IWBUUAFIplrNtaOHcJPRM'],['James Arthur'],2016,pop
4,The Weeknd,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,85,1Xyo4u8uXC1ZmMpatF05PJ,['1Xyo4u8uXC1ZmMpatF05PJ'],['The Weeknd'],2016,pop
5,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,87,1Xyo4u8uXC1ZmMpatF05PJ,"['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']","['The Weeknd', 'Daft Punk']",2016,pop
6,Ricky Montgomery,Mr Loverman,2IVsRhKrx8hlQBOWy4qebo,83,0ZUvK7zGdXLd78mQr3t1Tw,['0ZUvK7zGdXLd78mQr3t1Tw'],['Ricky Montgomery'],2016,pop
7,The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw,88,69GGBxA162lTqCwzJG5jLp,"['69GGBxA162lTqCwzJG5jLp', '26VFTg2z8YR0cCuwLzESi2']","['The Chainsmokers', 'Halsey']",2016,pop
8,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,86,0du5cEVh5yTK9QJze8zA0C,['0du5cEVh5yTK9QJze8zA0C'],['Bruno Mars'],2016,pop
9,Rihanna,Needed Me,4pAl7FkDMNBsjykPXo91B3,83,5pKCCKE2ajJHZ9KAiaK11H,['5pKCCKE2ajJHZ9KAiaK11H'],['Rihanna'],2016,pop
10,Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0,88,3TVXtAsR1Inumwj472S9r4,"['3TVXtAsR1Inumwj472S9r4', '3tVQdUvClmAT7URs9V3rsp', '77DAFfvm3O9zT5dIoG0eIO']","['Drake', 'WizKid', 'Kyla']",2016,pop
11,Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ,83,2h93pZq0e7k5yf4dywlkpM,['2h93pZq0e7k5yf4dywlkpM'],['Frank Ocean'],2016,pop
12,Frank Ocean,Ivy,2ZWlPOoWh0626oTaHrnl2a,82,2h93pZq0e7k5yf4dywlkpM,['2h93pZq0e7k5yf4dywlkpM'],['Frank Ocean'],2016,pop
13,Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8,83,2h93pZq0e7k5yf4dywlkpM,['2h93pZq0e7k5yf4dywlkpM'],['Frank Ocean'],2016,pop
14,Ricky Montgomery,Line Without a Hook,5NvOZCjZaGGGL597exlQWv,85,0ZUvK7zGdXLd78mQr3t1Tw,['0ZUvK7zGdXLd78mQr3t1Tw'],['Ricky Montgomery'],2016,pop
15,Rihanna,Love On The Brain,5oO3drDxtziYU2H1X23ZIp,85,5pKCCKE2ajJHZ9KAiaK11H,['5pKCCKE2ajJHZ9KAiaK11H'],['Rihanna'],2016,pop
16,James Arthur,Train Wreck,55Am8neGJkdj2ADaM3aw5H,84,4IWBUUAFIplrNtaOHcJPRM,['4IWBUUAFIplrNtaOHcJPRM'],['James Arthur'],2016,pop
17,Eric Bellinger,G.O.A.T.,0hUepWE4GoMwtKgU8vE617,78,7ibAWtDtmEfaVhc1FJ3Vl9,"['7ibAWtDtmEfaVhc1FJ3Vl9', '0uT3QSrGqBESB5s0XMa3WK']","['Eric Bellinger', 'Aroc!']",2016,pop
18,TV Girl,Cigarettes out the Window,5GKekzF1YcR2DQd9c3DI8y,80,0Y6dVaC9DZtPNH4591M42W,['0Y6dVaC9DZtPNH4591M42W'],['TV Girl'],2016,pop
19,Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P,82,0du5cEVh5yTK9QJze8zA0C,['0du5cEVh5yTK9QJze8zA0C'],['Bruno Mars'],2016,pop
20,Daniel Caesar,Japanese Denim,1boXOL0ua7N2iCOUVI1p9F,80,20wkVLutqVOYrc0kxFs7rA,['20wkVLutqVOYrc0kxFs7rA'],['Daniel Caesar'],2016,pop
21,Lukas Graham,7 Years,5kqIPrATaCc2LqxVWzQGbk,83,25u4wHJWxCA9vO0CzxAbK7,['25u4wHJWxCA9vO0CzxAbK7'],['Lukas Graham'],2016,pop
22,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,76,31TPClRtHm23RisEBtV3X7,['31TPClRtHm23RisEBtV3X7'],['Justin Timberlake'],2016,pop
24,Cuco,Lover Is a Day,76tGvMdmFKuiMew33ZNNA9,77,2Tglaf8nvDzwSQnpSrjLHP,['2Tglaf8nvDzwSQnpSrjLHP'],['Cuco'],2016,pop
25,Glass Animals,The Other Side Of Paradise,0rRjGruFonCGOt0S5zAJNQ,79,4yvcSjfu4PC0CYQyLy4wSq,['4yvcSjfu4PC0CYQyLy4wSq'],['Glass Animals'],2016,pop
26,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,84,6T5tfhQCknKG4UnH90qGnz,['6T5tfhQCknKG4UnH90qGnz'],['DNCE'],2016,pop
27,The Lumineers,Sleep On The Floor,5MMZJtHOiH1RmQSSe3DJdg,74,16oZKvXb6WkQlVAjwo2Wbg,['16oZKvXb6WkQlVAjwo2Wbg'],['The Lumineers'],2016,pop
28,Hailee Steinfeld,Starving,4Ce37cRWvM1vIGGynKcs22,81,5p7f24Rk5HkUZsaS3BLG5F,"['5p7f24Rk5HkUZsaS3BLG5F', '4lDBihdpMlOalxy1jkUbPl', '2qxJFvFYMEDqd7ui6kSAcq']","['Hailee Steinfeld', 'Grey', 'Zedd']",2016,pop
29,Rachel Platten,Fight Song,37f4ITSlgPX81ad2EvmVQr,81,3QLIkT4rD2FMusaqmkepbq,['3QLIkT4rD2FMusaqmkepbq'],['Rachel Platten'],2016,pop
30,Rae Sremmurd,Swang,6mapJIPnQ23RTAevUoE0DL,80,7iZtZyCzp3LItcw1wtPI3D,['7iZtZyCzp3LItcw1wtPI3D'],['Rae Sremmurd'],2016,pop
31,Childish Gambino,Me and Your Mama,31tf1qEai5o5f4r66Kd0pU,77,73sIBHcqh3Z3NyqHKZ7FOL,['73sIBHcqh3Z3NyqHKZ7FOL'],['Childish Gambino'],2016,pop
32,Mitski,I Bet on Losing Dogs,2Co0IjcLTSHMtodwD4gzfg,79,2uYWxilOVlUdk4oV9DvwqK,['2uYWxilOVlUdk4oV9DvwqK'],['Mitski'],2016,pop
33,The Lumineers,Cleopatra,2ToW7zhGCrVrLU4fiKj9U1,73,16oZKvXb6WkQlVAjwo2Wbg,['16oZKvXb6WkQlVAjwo2Wbg'],['The Lumineers'],2016,pop
34,PARTYNEXTDOOR,Come and See Me (feat. Drake),1wZqJM5FGDEl3FjHDxDyQd,77,2HPaUgqeutzr3jx5a9WyDV,"['2HPaUgqeutzr3jx5a9WyDV', '3TVXtAsR1Inumwj472S9r4']","['PARTYNEXTDOOR', 'Drake']",2016,pop
35,The Weeknd,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,82,1Xyo4u8uXC1ZmMpatF05PJ,"['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']","['The Weeknd', 'Daft Punk']",2016,pop
36,Rex Orange County,Corduroy Dreams,02tvc9CFnTyHuSRlGeNv9w,77,7pbDxGE6nQSZVfiFdq9lOL,['7pbDxGE6nQSZVfiFdq9lOL'],['Rex Orange County'],2016,pop
37,Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,82,3iri9nBFs9e4wN7PLIetAw,"['3iri9nBFs9e4wN7PLIetAw', '1QRj3hoop9Mv5VvHQkwPEp']","['Garrett Nash', ""Olivia O'Brien""]",2016,pop
38,KYLE,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,76,4qBgvVog0wzW75IQ48mU7v,"['4qBgvVog0wzW75IQ48mU7v', '6icQOAFXDZKsumw3YXyusw']","['KYLE', 'Lil Yachty']",2016,pop
39,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),37FXw5QGFN7uwwsLy8uAc0,73,6VuMaDnrHyPL1p4EHjYLi7,"['6VuMaDnrHyPL1p4EHjYLi7', '0C8ZW7ezQVs4URX5aX7Kqx']","['Charlie Puth', 'Selena Gomez']",2016,pop
40,ZAYN,PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1,82,5ZsFI1h6hIdQRw2ti0hz81,['5ZsFI1h6hIdQRw2ti0hz81'],['ZAYN'],2016,pop
41,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,75,2KsP6tYLJlTBvSUxnwlVWa,"['2KsP6tYLJlTBvSUxnwlVWa', '5iNrZmtVMtYev5M9yoWpEq']","['Mike Posner', 'Seeb']",2016,pop
